iso_code,2022_last_updated,2021_population,growth_rate,world_%,rank
SRB,"7,181,511","7,296,769",-1.03%,0.09%,105
SYC,"107,118","106,471",0.61%,0.00%,196
SLE,"8,698,179","8,420,641",2.20%,0.11%,102
SGP,"5,996,413","5,941,060",0.58%,0.07%,113
SVK,"5,849,099","5,447,622",3.59%,0.07%,116
SVN,"2,119,844","2,119,410",0.02%,0.03%,148
SLB,"732,244","707,851",2.32%,0.01%,166
SOM,"17,868,518","17,065,581",3.12%,0.22%,70
ZAF,"60,144,168","59,392,255",0.84%,0.75%,24
ESP,"47,541,094","47,486,935",0.15%,0.60%,30
LKA,"21,864,026","21,773,441",0.27%,0.27%,61
SDN,"47,492,737","45,657,202",2.67%,0.59%,32
SUR,"621,228","612,985",0.82%,0.01%,170
SWE,"10,581,230","10,467,097",0.79%,0.13%,87
CHE,"8,769,167","8,691,406",0.56%,0.11%,101
SYR,"22,665,669","21,324,367",3.76%,0.28%,60
TWN,"23,909,336","23,859,912",0.14%,0.30%,57
TJK,"10,050,031","9,750,064",2.08%,0.12%,95
TZA,"66,465,402","63,588,334",3.00%,0.82%,22
THA,"71,754,420","71,601,103",0.13%,0.90%,20
TLS,"1,350,861","1,320,942",1.54%,0.02%,155
TGO,"8,952,319","8,644,829",2.36%,0.11%,100
TTO,"1,532,638","1,525,663",0.35%,0.02%,153
TUN,"12,403,942","12,262,946",0.76%,0.15%,79
TUR,"85,593,118","84,775,404",0.67%,1.07%,18
TCA,"45,703","45,114",1.31%,0.00%,212
UGA,"47,922,320","45,853,778",3.04%,0.59%,31
UKR,"36,031,986","43,531,422",-8.80%,0.50%,38
ARE,"9,479,389","9,365,145",0.81%,0.12%,97
GBR,"67,625,310","67,281,039",0.34%,0.85%,21
USA,"339,088,530","336,997,624",0.38%,4.24%,3
URY,"3,422,794","3,426,260",-0.10%,0.04%,133
UZB,"34,905,036","34,081,449",1.60%,0.43%,43
VUT,"329,928","319,137",2.38%,0.00%,181
VEN,"28,558,356","28,199,867",0.36%,0.35%,51
VNM,"98,534,383","97,468,029",0.74%,1.23%,16
PSE,"5,310,650","5,133,392",2.27%,0.07%,122
YEM,"34,074,430","32,981,641",2.17%,0.42%,46
ZMB,"20,291,870","19,473,125",2.80%,0.25%,63
ZWE,"16,489,518","15,993,524",2.04%,0.20%,74
